;;;;;;
NombreCiclo;Codigo;Asignatura;Tipo;Docente;Ciclo;Seccion
VI;SI-682;SISTEMAS OPERATIVOS I ;Obligatorio;DR. RENZO ALBERTO TACO COAYLA;VI;A
VI;SI-683;BASE DE DATOS I ;Obligatorio;MTRO. ENRIQUE FELIX LANCHIPA VALENCIA;VI;A
VI;SI-684;INVESTIGACION DE OPERACIONES ;Obligatorio;MSC. SILVIA MARLENE CENTELLA VILDOSO;VI;A
VI;SI-685;DISEÑO Y ARQUITECTURA DE SOFTWARE;Obligatorio;MTRO. ALBERTO FLOR RODRIGUEZ;VI;A
;SI-686;PROGRAMACION III;Obligatorio;MAG. ELARD RICARDO RODRIGUEZ MARCA;VI;A
;;;;;;
VII;EG-781;PROBLEMAS Y DESAFÍOS DEL PERÚ EN UN MUNDO GLOBLAL;Obligatorio;MTRO. CARLOS NUÑEZ CARRASCO;VII;A
;SI-782;SISTEMAS OPERATIVOS II;Obligatorio;DR. RENZO ALBERTO TACO COAYLA;VII;A
;SI-783;BASE DE DATOS II;Obligatorio;MTRO. JUAN CHOQUE FLORES;VII;A
;SI-784;CALIDAD Y PRUEBAS DE SOFTWARE;Obligatorio;MAG. PATRICK JOSE CUADROS QUIROGA;VII;A
;SI-785;GESTION DE PROYECTOS DE TI;Obligatorio;DRA. MARTHA JUDITH PAREDES VIGNOLA;VII;A
;SI-786;PROGRAMACION WEB I ;Electivo;MTRO. TITO FERNANDO ALE NIETO;VII;A
;;;;;;
VIII;SI-881;INTELIGENCIA ARTIFICIAL;Obligatorio;MTRO. ISRAEL CHAPARRO CRUZ;VIII;A
;SI-882;REDES Y COMUNICACIONES DE DATOS I;Obligatorio;MTRO. HUGO MARTIN ALCANTARA MARTINEZ;VIII;A
;SI-883;SOLUCIONES MOVILES I;Obligatorio;MAG. ELARD RICARDO RODRIGUEZ MARCA;VIII;A
;SI-884;ESTADISTICA INFERENCIAL Y ANALISIS DE DATOS ;Obligatorio;MSC. LUIS ALFREDO FERNANDEZ VIZCARRA;VIII;A
;SI-885;INTELIGENCIA DE NEGOCIOS ;Obligatorio;MAG. PATRICK JOSE CUADROS QUIROGA;VIII;A
;SI-886;PLANEAMIENTO ESTRATÉGICO DE TI ;Electivo;DR. OSCAR JUAN JIMENEZ FLORES;VIII;A
;SI-887;INTERNET DE LAS COSAS ;Electivo;;VIII;
;SI-888;DISEÑO Y CREACION DE VIDEOJUEGOS;Electivo;;VIII;
;SI-889;PATRONES DE SOFTWARE;Electivo;MAG. PATRICK JOSE CUADROS QUIROGA;VIII;A
;SI-8810;SISTEMAS DE RECURSOS EMPRESARIALES;Electivo;;VIII;
;SI-8811;TOPICOS DE BASE DE DATOS AVANZADOS I;Electivo;;VIII;
;;;;;;
IX;SI-981;TALLER DE TESIS I;Obligatorio;MSC. LUIS ALFREDO FERNANDEZ VIZCARRA;IX;A
;SI-982;PROGRAMACION WEB II;Obligatorio;MTRO. ENRIQUE FELIX LANCHIPA VALENCIA;IX;A
;SI-983;CONSTRUCCION DE SOFTWARE I ;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;IX;A
;SI-983;CONSTRUCCION DE SOFTWARE I ;Obligatorio;MTRO. ALBERTO FLOR RODRIGUEZ;IX;B
;SI-984;REDES Y COMUNICACION DE DATOS II;Obligatorio;MTRO. HUGO MARTIN ALCANTARA MARTINEZ;IX;A
;SI-985;GESTION DE LA CONFIGURACION DE SOFTWARE;Obligatorio;MAG. RICARDO EDUARDO VALCARCEL ALVARADO;IX;A
;SI-986;INGLES TECNICO;Obligatorio;MAG. NILDA BERTHA GARCIA CASTRO;IX;A
;SI-987;CLOUD COMPUTING ;Electivo; ;IX;A
;SI-988;SOLUCIONES MOVILES II;Electivo;DR. OSCAR JUAN JIMENEZ FLORES;IX;A
